Date,Gasoline,Propane,Diesel,Electricity
2011-01-24,3.08,4.22,3.09,1.35
2011-04-01,3.69,4.41,3.62,1.43
2011-07-14,3.68,4.26,3.54,1.47
2011-09-30,3.46,4.23,3.42,1.46
2012-01-13,3.37,4.26,3.46,1.37
2012-03-30,3.89,4.02,3.69,1.43
2012-07-13,3.52,3.64,3.36,1.44
2012-09-28,3.82,3.54,3.70,1.43
2013-01-10,3.29,3.70,3.55,1.36
2013-03-29,3.59,3.77,3.58,1.41
2013-07-12,3.65,3.77,3.50,1.49
2013-10-04,3.45,4.09,3.51,1.45
2014-01-01,3.34,4.31,3.49,1.36
2014-04-01,3.65,4.57,3.56,1.43
2014-07-01,3.70,4.24,3.51,1.51
2014-10-01,3.34,4.25,3.38,1.46
2015-01-01,2.30,4.04,2.75,1.41
2015-04-01,2.42,4.01,2.56,1.47
2015-07-01,2.82,3.97,2.61,1.49
2015-10-01,2.35,3.97,2.30,1.47
2016-01-01,1.98,3.91,1.99,1.39
2016-04-01,2.06,3.79,1.90,1.43
2016-07-01,2.26,3.79,2.19,1.45
2016-10-01,2.22,3.67,2.21,1.41
2017-01-01,2.32,3.84,2.30,1.38
2017-04-01,2.38,3.87,2.27,1.43
2017-07-01,2.26,3.89,2.20,1.47
2017-10-01,2.49,3.82,2.46,1.43
2018-01-01,2.50,3.88,2.63,1.35
2018-04-01,2.67,3.87,2.70,1.41
2018-07-01,2.88,3.85,2.89,1.43
2018-10-01,2.91,3.93,2.99,1.39
2019-01-01,2.27,3.99,2.65,1.36
2019-04-01,2.76,3.97,2.75,1.43
2019-07-01,2.76,3.87,2.71,1.42
2019-10-01,2.68,3.79,2.74,1.37
2020-01-01,2.59,3.82,2.71,1.35
2020-04-01,1.91,3.74,2.33,1.42
2020-07-01,2.22,3.75,2.20,1.40
2020-10-01,2.18,3.74,2.13,1.44
2021-01-01,2.32,3.90,2.35,1.33
2021-04-01,2.82,4.01,2.77,1.42
2021-07-01,3.09,4.08,2.90,1.40
2021-10-01,3.25,4.34,3.10,1.40
2022-01-01,3.28,4.69,3.22,1.34
2022-04-01,4.13,4.83,4.50,1.41
2022-07-01,4.70,5.19,5.02,1.48
