,state,emissions,year
0,Alabama,2000,2019
1,Alaska,700,2019
2,Arizona,19500,2019
3,Arkansas,900,2019
4,California,349700,2019
5,Colorado,19200,2019
6,Connecticut,6900,2019
7,Delaware,1300,2019
8,District of Columbia,1800,2019
9,Florida,40300,2019
10,Georgia,19000,2019
11,Hawaii,8800,2019
12,Idaho,1600,2019
13,Illinois,19300,2019
14,Indiana,5100,2019
15,Iowa,1600,2019
16,Kansas,2300,2019
17,Kentucky,1900,2019
18,Louisiana,1400,2019
19,Maine,1300,2019
20,Maryland,13200,2019
21,Massachusetts,14100,2019
22,Michigan,6600,2019
23,Minnesota,7700,2019
24,Mississippi,500,2019
25,Missouri,4900,2019
26,Montana,5700,2019
27,Nebraska,1300,2019
28,Nevada,7900,2019
29,New Hampshire,1900,2019
30,New Jersey,20200,2019
31,New Mexico,1900,2019
32,New York,23000,2019
33,North Carolina,11600,2019
34,North Dakota,200,2019
35,Ohio,10200,2019
36,Oklahoma,3400,2019
37,Oregon,18800,2019
38,Pennsylvania,12000,2019
39,Rhode Island,1100,2019
40,South Carolina,3000,2019
41,South Dakota,300,2019
42,Tennessee,5700,2019
43,Texas,38400,2019
44,Utah,8000,2019
45,Vermont,1700,2019
46,Virginia,15000,2019
47,Washington,40400,2019
48,West Virginia,400,2019
49,Wisconsin,4700,2019
50,Wyoming,200,2019
