,state,emissions,year
51,Alabama,500,2016
52,Alaska,200,2016
53,Arizona,4700,2016
54,Arkansas,200,2016
55,California,141500,2016
56,Colorado,5300,2016
57,Connecticut,2000,2016
58,Delaware,300,2016
59,District of Columbia,600,2016
60,Florida,11600,2016
61,Georgia,18000,2016
62,Hawaii,4200,2016
63,Idaho,400,2016
64,Illinois,5800,2016
65,Indiana,1300,2016
66,Iowa,400,2016
67,Kansas,600,2016
68,Kentucky,500,2016
69,Louisiana,400,2016
70,Maine,300,2016
71,Maryland,3200,2016
72,Massachusetts,3600,2016
73,Michigan,1600,2016
74,Minnesota,1600,2016
75,Mississippi,100,2016
76,Missouri,1400,2016
77,Montana,200,2016
78,Nebraska,300,2016
79,Nevada,2000,2016
80,New Hampshire,400,2016
81,New Jersey,4200,2016
82,New Mexico,500,2016
83,New York,6100,2016
84,North Carolina,2900,2016
85,North Dakota,0,2016
86,Ohio,2600,2016
87,Oklahoma,600,2016
88,Oregon,7700,2016
89,Pennsylvania,3200,2016
90,Rhode Island,300,2016
91,South Carolina,800,2016
92,South Dakota,100,2016
93,Tennessee,2600,2016
94,Texas,11900,2016
95,Utah,2500,2016
96,Vermont,300,2016
97,Virginia,3100,2016
98,Washington,14900,2016
99,West Virginia,100,2016
100,Wisconsin,2600,2016
101,Wyoming,100,2016
0,Alabama,2000,2019
1,Alaska,700,2019
2,Arizona,19500,2019
3,Arkansas,900,2019
4,California,349700,2019
5,Colorado,19200,2019
6,Connecticut,6900,2019
7,Delaware,1300,2019
8,District of Columbia,1800,2019
9,Florida,40300,2019
10,Georgia,19000,2019
11,Hawaii,8800,2019
12,Idaho,1600,2019
13,Illinois,19300,2019
14,Indiana,5100,2019
15,Iowa,1600,2019
16,Kansas,2300,2019
17,Kentucky,1900,2019
18,Louisiana,1400,2019
19,Maine,1300,2019
20,Maryland,13200,2019
21,Massachusetts,14100,2019
22,Michigan,6600,2019
23,Minnesota,7700,2019
24,Mississippi,500,2019
25,Missouri,4900,2019
26,Montana,700,2019
27,Nebraska,1300,2019
28,Nevada,7900,2019
29,New Hampshire,1900,2019
30,New Jersey,20200,2019
31,New Mexico,1900,2019
32,New York,23000,2019
33,North Carolina,11600,2019
34,North Dakota,200,2019
35,Ohio,10200,2019
36,Oklahoma,3400,2019
37,Oregon,18800,2019
38,Pennsylvania,12000,2019
39,Rhode Island,1100,2019
40,South Carolina,3000,2019
41,South Dakota,300,2019
42,Tennessee,5700,2019
43,Texas,38400,2019
44,Utah,8000,2019
45,Vermont,1700,2019
46,Virginia,15000,2019
47,Washington,40400,2019
48,West Virginia,400,2019
49,Wisconsin,4700,2019
50,Wyoming,200,2019
